"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"GE";"freezer";"FUF21DLREWW";"GE warranty";"072883535";"IT KEEPS SOUNDING THE ALARM AND SAYING HIGH TEMP.  IT WILL NOT KEEP GOOD COLD AND IT RUINED OUR FOOD.  NOTHING STAYS COLD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";"Dryer";"MEDX500XW0";;;"HAS POWER AND LIGHTS, WHEN START BUTTON PUSHED IT MAKES A VERY SHORT SOUND WILL NOT START, NO TUMBLE. SMASHED EXHAUST DUCT";;;"WP8577274";;;;;;;"279973";"wp3392519";"W10837240";"6602-001655";;;;;"thermal fuse 42";;;;;;;"thermal cutoff 47";"thermal fuse 49";"idler 10.15";"belt 24.25";;;;
"Tcl";"TV";"55S21";;;"TV FLASHES ONCE THEN GOES DIM.";"DISASSEMBLED AND REPLACED POWER SUPPLY, BEHAVIOR CHANGED TO INTERMITTENT BACKLIGHT, NEEDS POWER SUPPLY AND LEDS. ESTIMATE DECLINED, REASSEMBLED FOR PICKUP. DK";;;;;;;;;;;;;;;;;"led/power combo";;;;;;;;;;;;;;
"Sony";"TV";"XBR-75X850E";;;"LINES ON THE SCREEN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Velodyne";"Speaker-Sub";"HGS18BG11";;;"IT PLAYS FOR 30 MINUTES OR SO, THEN SHUTS OFF AND TURNS OFF BY ITSELF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pioneer";"cassette";"CT-M6R";;;"JUST PURCHASED, IT THROWS AND ERROR CODE AND WON'T OPEN THE TRAY";"needs gears parts nla. finished 12/09/24 krd";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";"Dryer";"WED4815EW1";"selfpay";;"NEED DRYER BELT
";;;"w10131364";;;;;;;;;;;;;;;"belt";;;;;;;;;;;;;;
"Tcl";"TV";"55S405TEAA";;;"TV TO STRIP FOR PART full model number is 55s405tbca-49s405taba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hitachi";"turntable/am/fm";"DPK-340";;"file";"TURNTABLE DOESN'T SPIN. FRONT CONTROL IS BENT AND SAID IT ONLY HAS OUTPUT TO ONE CHANNEL. TESTED WITH HIS SPEAKERS AND HAD OUTPUT TO BOTH. HE TOOK SPEAKERS WITH HIM.";;;;;;;;;;;;;;;;;;"TVs";;;;;;;;;;;;;;
"GE";"Dryer";"GFD55ESSN3WW";"GE warranty";"073191516";"TUMBLES BUT DOES NOT HEAT

";"Unit Dead. After extensive troubleshooting, the unit was found to have multiple problems, including bad wiring harness, bad control board, bad user interface boards. Proper parts were installed, checked operation OK,. Unit Done.";;"WE22X36578";"wh03x32157";"WH22X36577";"CRM";;;;"WE11X29790";"WE04X29792";"WE04X29793";"WE04X10190";"WE04X29714";"we08x32439";"we16x33977";"we22x37717";"Main 9877";"Motor 78.18";"WIFI3345";"3/17/25";;;;"Heater 8142";"Inlet therm 0678";"HL therm 0437";"Thermos 1051";"Outlet therm 1131";"Harness 75.23";"wheel";"ui 129.72"
"Samsung";"TV";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acp";"Microwave";"RCS10TS";"Commerical Microwave";;"SPARKS WHEN OPERATING, HANDLE MAY BE CRACKED.";;"12/5/2025, Shop Note:
This unit has cracked waveguide and broken handle. The waveguide needs to be welded when we are ableto get setup for TIG welding. K
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"INSIGNIA";"TV";"NS-50DF710NA19 REV A";;;"SOUND BUT NO PICTURE";;;;;;;;;;"PLTVHY301XAGD";"LB-PM3030-GJBBY";"504X8ABL2";;;;;;;;;;;;;"Power Supply";"LED";;;;;;
"Amana";"Microwave";"RCS10TS";"Commerical Microwave";;"NO POWER, (SHOWS ARCING INSIDE)";;;"14124069";;;;;;;;;;;;;;;"Door Handle 61.10";;;;;;;;;;;;;;
"Harman-Kardon";"bt speaker";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";"Washer";"WFW878EDW0";;;"DRAIN PUMP KEEPS RUNNING";;;"WPW10448876";;;;;;;"W111044559";"WPW10605427";;;;;;;"SENSOR 26.28";;;;;;;"HOSE 10.08";"DRAIN PUMP 30.00";;;;;;
"Maytag";"Washer";"MVWC416FW0";"Whirlpool 3rd party";;"I'M HAVING TROUBLE WITH MY WASHER AGAIN.  I METICULOUSLY PACKED A LOAD OF SHEETS AROUND THE BASKET AND FOUND THE WASHER GOING OUT OF BALANCE AGAIN.  THE BASKET IS TILTED AGAIN, NOT SPINNING AND CLOTHES  COME OUT WET";"installed parts op-ok-2-25-2025-gp";;"W11682068";"W10846191";"WP8533953";"W10772621";"crm";;;"W10721967";"W10919003";"W10899966";"W10836692";"W10832724";"W10913953";"WPW10006384";"W11454372";"Damper 2592";"#Wash Plate9148";"SCREW214";"SCREW195";"3/6/25";;;"Cam kit 1758";"Drain pump 10628";"#Hose 1048";"AGITATOR5417";"Motor13535";"Actuator3131";"Belt1155";"Gear Case16478"
"Samsung";"TV";"UN40H5201AFXZA VF12";;;"NO PICTURE, NOT SURE ABOUT SOUND.";;"

12/24/24, Shop Note:
Unit appeared dead, no video or audio detected. Disassembled, reset connections, standby light came on, blinked 6 times, then turned off.

Samsung TV with no video or backlight. Standby light blinks 6 times. Power supply seems overheated. Power to the LED connector CNL802 was 204V with LED disconnected. With LED connected, output 0V. Output to the main board connector CNL802 about 13V, nominal. 
Parts needed, power supply,  LED, and main board.
Give estimate, if approved, parts listed in Lotus. Pix sent to Dale. K

12/26 Parts are out of stock at SJ, they'll email when they have them. dk

5/15/2025, Repair Update:
The replacement main and power supply did not change the outcome. The unit needs LEDs changed to troubleshoot and diagnose further. Reinstalled original parts, new parts in Kit back on the shelf.  Needs LEDs. K-GP

";;;;;;;;"BN94-09773A";"BN44-00769C";"BN59-01174A";"BN95-02375A";;;;;"LED";;;;;;;"MAIN";"POWER SUPPLY";"WIFI BT";"T-CON";;;;
"Ge";"refrigerator";"ZFSB23DRG SS";;;;;"12/30/24, Service Note
Parts installed, worked OK.
";"WR02X10779";;;;;;;"WR02X13425";;;;;;;;"Cam closure 0614";;;;;;;"Door stop 0840";;;;;;;
"Amana";"Microwave";"RFS12TSW";"Commerical Microwave";;"68099,UNIT NOT HEATING";;"1/2/2025; Shop Note:
No HV activation, no pwer to transformers. Section fuses are OK. Trace the circuit.
-HV Interlock switch is broken.
-Bottom mag not working
-Bottom TX HV fuse open
-HV Tx secondary winding acts as partially shorted, delivering more power, drawing more current. It tripped the breaker and blew 2 HV fuses. Replace HV Tx.
-Check bottom mag - OK, operated with the upper mag HV Tx.
-Problem points to lower HV Tx. Look for replacement transformer from DNR units.
";"14164113";;;;;;;"	53002035";"53002025";"53002040";;;;;;"Interlock Assy";;;;;;;"HV Fuse";"Mag Btm 2M246";"HV Transformer";;;;;
"GE";"Washer";"HTW265ASW0WW";"GE warranty";"073498539";"PREV TK 66755 TUB IS MOVING AND KNOCKING AND OFF BLANCE";;"01/06/25 customer called ge 
01/06/25 customer called ge 
HTW265ASWOWW
VZ914392G";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;"RMH Applebee's";"0030592";"MICROWAVE STOPPED HEATING UP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"Microwave";"ME19R7041FG /aa 00";"selfpay";;"HANDLE IS BROKEN";"customer did not call back to approved estimate, aged out dk";"01/08/25 customer said square will reinburse him for the trip $65.00 diagnostic $40.00 plus tax, they want us to make sure it only need the handle because this unit is only  $329.00 unit 

Handle and door frame cracked. Need door assy. 01/16 tb";"DE94-04312B";;;;;;;;;;;;;;;"Door Assy 18760";;;;;;;;;;;;;;
"Orion";"amp, car";"2100 HCC4";;;"NEEDS A REPLACMENT SCREW FOR POWER CONNECTION, POWER/PEAK LIGHT BROKEN, FAN ON TOP DOESN'T POWER ON. POPS FUSE WHEN BLUE REMOTE WIRE IS CONNEDCTED. REPLACE ALL CAPS. FIX ANY OTHER ISSUES.";;"03/06 Bench power supply will not power up this amp. dk
has shorted amp section, need schematic to find all parts effected.

09/29 Red and green bin is at C8. dk";"108-AFB0912SH-A";;;;;;;"749-R5RD";"630-HLMP-S301";"63VXG3300MEFCSN";"35WXA1000MEFC16";"REF1625471M100B";"35PX470MEFC10X1";"667-EEA-GA1H100";;"fan";;;;;;;"red led";"yellow led";"3300uf 63v caps";"1000uf 35v caps";"470uf 100v caps";"470uf 35v caps";"10uf 50v";
"GE";"Washer";"GFW655SPV0DS";"GE warranty";"073629440";"WHITES CYCLE AND POWER CLEAN CYCLE DOES NOT FILL WITH WATER.";"CHANGED PARTS. OP OKAY";"01/27/25 customer sent us t4ext gs
Changed parts. Unit was operating as intended. The cycles she has issue with have defaulted prewash. It was running prewash and customer had other expectations. Changed parts to abe sure valve and main had no issue. 02/18/25 tb


";"WH22X37840";;;;;;;"WH22X36738";"WH22X35837";"WH23X29553";"CRM";;;;;"Main 13166";;;;;;;"#UI 10369";"#Inverter 10694";"Valve 6080";"2/21/25";;;;
"GE";"dishwasher";"CDT875P2NBS1";"GE warranty";"073639690";"LIGHTS ON CONTROL PANEL NOT WORKING:CONTROL PANEL IS NOT RESPONDING, MAKES A CLICKING SOUND.

";"CHANGED PARTS. OP OKAY";"01/27/25 customer sent us text gs  It is clicking so it has power but the user interface board does not respond so it will not run or anything ge sent the part to customer GS 

2/19  Customer called and received the parts from ge 

02/26 Installed main with no effect. New main in unit.l Hinges are binding bottom of door and door not closing fully without force. Waater from door has been getting into door on panel and harness. tb

04/04 Installed UI and harness, still click. (Original harness and UI in unit).
Disabled parts one by one. Unit turns on and operates if under dry fan is disabled. tb

04/17 Changed parts. tb

04/17 Blacklist this ADDRESS.  This is customer who said we're incompetent for getting broken parts and not knowing they're broken. Husband is hostile and aggressive. tb";"WD21X34778";"WD27X33661";"CRM";;;;;"WD21X31380";"WD21X30718";"WD21X28380";"WD05X32018";"WD14X23739";"WD14X23738";"WD21X31718";"WD27X33439";"Main 11280";"#Out Door 17169";"4/23/25";;;;;"#UI 16034";"#AC Harnes 2723";"DC Harns 4489";"Dry Boost 7011";"#Hinge 1374";"#Hinge 2003";"UI Harn 2392";"#In Door 13938B/O"
"Sony";"turntable";"PS-X50";;;"TONE ARM SKATES. DIRECT DRIVE UNIT. NEEDS CONTROLS CLEANED.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lg";"TV";"OLED55C7P-U.BUSYLJR";;;"SAYS IT LOOKS LIKE A PCB ISSUE BUT IT WORKED FINE HERE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"TV";"UN40NU7100FXZA FA01";;;"DARK CLOUD ON THE LEFT SIDE OF THE SCREEN";;"03/06 Not sure what is going on with this one. There was no deposit recorded in the daily report yet the it balanced. He must have taken the tv after we made the ticket and before paying a deposit. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sony";"cd carousel";"CDP-CX225";;;"WORKS - DONATED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Amana";"Microwave";"RCS10TS";"Commerical Microwave";;"ARCING INSIDE CAVITY, WAVEGUIDE BURNED OUT.";;"2/4/25, Shop Note:
Waveguide arced inside the cavity. Needs welding.

2/27/2025, John from Lazlo's inquired about the status of their microwave. They were told before that theor unit has severe damage to its waveguide from severe arcing. John was advised the the unit is not repairable, but we will try. If we could fix it, will let them know. K

2/27/2025, Jennifer Write from Hay Market Lazlo'z called to confirm that their microwave is currently no repairable and if repaired, will take some time, a month or so. She was wondering if she has to buy a replacement microwave. She was advised the she will be better off to buy a replacement one. If we got their current unit repaired, welded, will let her know. K

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Maytag";"Washer";"MVWB835DW2";"Whirlpool 3rd party";;"TUB FILLS BRIEFLY THEN EMPTIES
ERROR CODE F6E2 -WASHER";"05/15/25 Replaced parts. op ok";"Cx cxld 5/6 sched appt, NE.
03/13/25 No parts installed. Gearcase also grinding. geo

No parts installed. Motor has GC oil running through it. 
MAY not need clutch shifter. 03/31/25 tb


4/22 Called Whirlpool's third party, and they said they wanted to proceed with this call and ordered these two parts, W11219115, W10811960 from  EXparts SR# 7740944459 RE

05/15/25 Replaced parts. op ok geo
";"W11400681*";"W10915701*";"W10915700*";"W10811960";"W11219115";"CRM";"CRM";"W11112656*";"W10754448*";"W11393685*";"W10734521";"W10902814*";"W10752187";"W11130356*";"WPW10215093";"Main 18952  +C60";"Rotor 10058";"Stator 12186";"Basket21717";"TubOuter20322";"5/23/25";"5/30/25";"Consol 21673";"Clutch 5377";"Gearcase16478";"Slider2461";"Washplate5630";"#Screw214";"DamperSet7016";"Filter3111"
"Sonay";"TV";"XBR-75X950H";"CUSTOM ELECTRONICS";;"FLASHES 4X DOESN'T LIGHT UP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";"Dryer";"WED4850BW1";;;"NOISY DURING OPERATION";;;"4392067";;;;;;;"3949247V";;;;;;;;"roller kit 17.89";;;;;;;"lid sw, washer";"top nla, washer";;;;;;
"Whirlpool";"Washer";"WFW92HEFW0";"Assurant Extended";"48087500";"RUBBER GASKET THAT'S WHERE THE DOOR CLOSES IS HOLD WATER AND WON'T DRAIN. ALSO IT WILL SAY THE CYCLE IS DONE IN 13 MINUTES AND IT GOES HALF AN HOUR OR MAYBE 1 MIN.";"Changed parts, still need main W11201293. The part is on backorder and will move to a buyout";"02/17/25 customer sent us text GS  'll be out of the country 2/25-3/9.

No parts installed yet. Will need dampers and bellow.  The timer skips around. 03/10 TB 
5/28 email from assurant 
The claim was opened 2/17/25 and the part is still on backorder. We checked and the eta is still more than 30 days out. Please bill out for what you have already done, and we will move to buyout the washer. RE";"WPW10605427";;;;;;;"W11415987";"W11173364";;"W11201293";;;;;"Drain pump 3047";;;;;;;"Damper 4548";"Bellow/gaskt10339";;"Main 189.52 B/O";;;;
"Onn";"TV";"100044717";;;"NO DESCRIPTION (M21153-MT)";;"2/21/2025, Shop Note:
TV was left outside, donated by somebody. TV turns on, has video, but does not respond to remote, except turned on once, but will not turn off.The standby light flashes.
";"515C90100M13";;;;;;;;;;;;;;;"Main2879  SJ";;;;;;;;;;;;;;
"Whirlpool";"Washer";"WTW5010LW0";"Assurant/Lowes Ext";"25000166904DF";"WASHER WILL NOT FINISH CYCLE. CLOTHS LEFT SOPPING WET. SITS WITH NOT ACTION WITH SENSE AND WASH LIGHT ON  PREV TK 1 MONTH AGO 66943

";"APPROVING INSTALLED CONTROL AT PART COST";"03/28 RFA declined, they'll pay for main, diag and trip. dk

02/18/25 customer sent us text gs is not finishing loads and is stalling with sense and wash light with no action occurring.  It drains the tub when i cancel the load (after 30 min of no action for example). Initially noted this 2/17 with sopping wet cloths after a load. Repeated cycle attempts do not finish.

02/19 Authorization Request has been created. 622.33 dk

03/06/25 No parts installed. Speed sensor fault, Replaced main, still same. geo

03/20/25 Cx had no power due to storm. Cx will call when power is restored. geo

03/27 Black powder from belt on pullies. Pulled cam gear. Metal filings in cam from GC.  Broken wire to capacitor.  If prev had error of F7E1, get motor and speed sensor!.  Agitator seized to shaft. 
REPLACE GC, Belt, Cam Kit, Harness, Dampers, Capacitor.  Drain pump and Agitator are optional. tb";"W11513246";"W10721967";"W11026785";"W10752283";;;;"W11395618";"W11130362";"W11399437";"W11643701";"W11481722";;"W11449840";"W11239857";"Main 129.00";"Cam Kit 1786";"Drive Motor 14530";"Washplate 5980";;;;"Capacitor 5798";"Damper 6441";"Drain pump 9998";"Lower harns 4248";"Actuator 47.50";;"GC 16478";"Belt 2533"
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Velodyne";"amp";"SPL12BV";;;"WHEN PLUGGED IN WITHOUT SIGNAL AFTER 10 SECONDS IT WOULD MAKE A HUM/HISS AND GET LOUDER OVER 40-50 SECONDS AND THEN HE'D UNPLUG IT";;"needs input board, would need donor unit to be able to replace.";"871B43501E2477M";;;;;;;;;;;;;;;"470uf 200v cap";;;;;;;;;;;;;;
"Whirlpool";"Washer";"WFW87HEDCO";"CPS";"1863703";"THE UNIT IS NOT TURNING ON";;"02/21/25 diagnostic  CPS CANCELED GS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acp";"Microwave";"HDC21RB2";"Commerical Microwave";;"HAVE TO CLOSE THE DOOR A FEW TIMES BEFORE IT WILL RUN AND HEAT IS LESS THAN NORMAL";"ESTIMATE DECLINED, BILL OUT FOR DIAGNOSTIC";"4/1/2025, The repair estimate was $954.53, Chris declined the repair and donated the unit to Metro for part. K

3/3/2025, Shop Note:
-Top mag shorted 2M248K(A)
-Top waiveguide burned and pitted
-Blower fan seized
-No power to the blower
-No power to top and bottom antenna.
-Arcing in the cavity under antenna shield.

Problem points to control board, specifically the autotransformer. But, have to rule out the intrelock first.

Diagnostic work done so far.
-Cleaned top waiveguide
-Isolated magnetrons, powered on for about 10 seconds without blower. The magnetron high voltage curcuits works OK. Used loaner mag for top mag.
-No power coming to connector E, orange wire on the control baord. -The associated relay clicks, but the contacts could be bad.
-Replace interlock first. If it did not help, then replace the HV/LV board, but it is not available.

3/4/2025, Repair Update:
Replaced interlock, no effect on the problem, still no power to connector E. New interlock installed, old interlock inside the cavity.

3/4/25, I left a voicemail message for Chris to call me. I was going to ask him if he has some old broken units in the Arby's system to harvest some parts from. K

4/1/2025 Repair Update:
Installed loaner control board, installed original interlock, used loaner mag for top section, blower and antennas power restored. Lower mag weak, blower motor sluggish, operation OK. Both mags need to be replaced, lower antenna needs repair to not wobble. Give estimate.
The repair estimate of $954.53 was declined by Chris. Donated the unit to Metro for part. K

";"59174525";;;;;;;"59004013";"59114167";"R0131381";;;;;;"Blower Assy";;;;;;;"Mags 2M48K(AK)";"Interlock";"HV/LV Board (nla)";;;;;
"LG";"Range, Elec";"LRE3083ST/01";;;;;;"AGM73551624";;;;;;;;;;;;;;;"CONTROL PANE";;;;;;;;;;;;;;
"GE";"Washer";"GTW335ASN1WW";"NEW/Assurion";"1858508654";"WASHER IS NOT DRAINING COMPLETELY. THE CLOTHES ARE COMING OUT SOAKING WET. 
";" This is not an MFG defect. This is a user/maintenance issue. coverage declined";"02/25/25 customer sent us text GS 
3-24-25 No parts installed unit needs a gear case. I found ball bearings under the unit. Oil leaking from gear case 3-24-2025-gp
04-14-25 Mr. Hall called asking for Gary. Gary still needs to go back and reassemble washer.";"WH23X28418";"WH03X33729";"WH03x30517";"wh05x24185";"wh01x24434";"wh01x27538";"wh03x21559";"WH16X26910";"WH16X26911";"WH03X37017";"wh03x32158";"WH08X28842";"WH43X30957";"WH02X24374";"WH02X10363";"Drain pump 3151";"Gear Case13000";"SHIFTER3373";"clutch";"clutch spring";"belt";"motor";"Damper 0711";"Damper 0755";"Grease 3800";"speed sens (last)";"HARNESS 6489";"AGITATOR7553";"Bolt567";"NUT HUB935"
"Elctra";"amp";"12K";;;"OVER HEATS";"needs new control chip, part nla. finished 03/14/25 krd ok to dispose 08/07/25 krd";"06/03 unit on shelf dkr
8-6-25-GP LVM
ok to dispose. 08/07/25 krd";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Maytag";"Washer";"MVW6200KW2";"Whirlpool 3rd party";;" TK IN SCH 67217 DOOR PROBLEMS.THE LID LATCH IS BROKEN SO LID WILL NOT LOCK AND THIS IS THE CAUSE OF THE MACHINE NOT STARTING";;"3/3 was able to text the issue, repair is canceled , NE. 
02/27/25 I called customer GS ";"W11700916";;"WPW10006384";"W10902814";"W10752187";;;"W11457841";"W11545554";;;;;;;"Latch 3002";;"Belt1173";"Wash Plate5630";"Bolt214";;;"Strike 0770";"Bezel 0942";;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-2157R";"Commerical Microwave";;"NEEDS FILM FOR UNIT AND NEED US TO MAKE A COUPLE WINDOW STICKERS";;"3/7/2025, This unit is not in the shop. Ralph will bring it some time for service. Ticket in tech folder. K";;;;;;;;;;;;;;;;"window stickers";;;;;;;"touch panel";;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"83 Electra";"am/fm";"16022820";;;"WHEN THE RADIO IS TURNED ON IT CLICKS, THEN CRACKLES A BIT BUT HAS NO OTHER AUDIO OUTPUT.";"needs new amplifier module, part nla. finished 08/15/25 krd";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-2157R";"Commerical Microwave";;"NEEDS FILM FOR UNIT AND NEED US TO MAKE A COUPLE WINDOW STICKERS";;;;;;;;;;;;;;;;;;"window stickers";;;;;;;"touch panel";;;;;;;
"GE";"Washer";"GTW720BSN0WS";"GE warranty";"073872084";" LID HINGE IS BROKEN, OR PLASTIC THAT IS SUPPOSED TO HOLD IT IT BROKE.DOES NOT SPIN
";;"Go Diag  waiting for customer to call back if he want us 
Take NO parts
3/10 GE ordered all parts will be shipped to the customer 
conformation # 1058661587 customer received parts from ge 3/13/25  GS
waiting for customer to call back if he want us to estimate $350.00 and $75.00 trip charges 06/18/25 gs

f the cost be more then $250 have to call consumer relationship 
844-361-0555

Error code 5=mode shifter
When power on and start, mode shifter keeps turning and making popping noise. 1 time, the motor started to move. Lid is severely cracked(pics to shop). Can pull error codes but not put into service/diag mode. 03/07 TB 
3/10

06/17/25 customer is tring to get ge to pay for the labor gs";"WH44X26695";"WH03X35580";"WH03X37017";;;;;"WH08X37938";"WH02X24106";"WH03X30257";"WH03X31397";"WH08X28944";"WH03X31937";"WH22X36477";"WH03X32138";"Lid 13506";"Damper  (4) 7075";"Grease 3800";;;;;"Latch 5842";"Strike 0437";"Stator Assy 5509";"Rotor 3022";"Harness 5266";"Mode Shifter 2585";"Main 23282";"Acceleromet 2666"
"Acp";"Microwave";"RCS10TS";"Commerical Microwave";;"HAVE TO CLOSE IT A FEW TIMES TO GET IT TO WORK.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yamaha";"receiver";"XDA-QS5400";;;"SHUTS DOWN. NO POWER.";;"03/11 Customer's name and address match the sellers address. Emailed Yamaha thru Gmail to ask if they are an authorized Yamaha dealer. dk

called cx to see what they want done. 04/11/25
called customer 4-15-25-GP
sent cx text. 05/12/25
8-6-25-GP LVM";"VAG43600";;;;;;;;;;;;;;;"Amplifier Module";;;;;;;;;;;;;;
"Amana";"Washer";"NTW4750YQ1";"Whirlpool 3rd party";"SWPT3463F7EE-1";"PREV  TK 65350   THE LIGHT COME ON AND IT FILLS WITH WATER BUT WONT COMPLETE THE CYCLE";"installed parts op-ok-4-3-2025-gp";" 03/10/25 customer called in GS  
3-26-25 washer not completing cycle  
installed new main board still in unit Went to install cap and found
the belt off of motor nut missing to cam pulley and the pulley to the motor chipped around pulley 3-26-2025-gp
4-3-2025- installed parts op-ok-4-3-2025-gp";"W11395618";;"W10324647";"W11454372";"W10528947";;;"WPW10383573";"W10484686";"W10832724";"W10721967";"WPW10006384";"W10759923";"CRM";;"Capacitor 5335";;"seal";"GEARCASE";"hub";;;"harness 7495";"Main 22725";"Motor13747";"Cam Kit1786";"Belt";"Nut205";"4/16/25";
"Element";"TV";"E2SW3918";;;"HAS TO WIGGLE THE RF JACK TO GET GOOD RECEPTION.";"PART IS NLA 8-5-25 GP called customer ok to dispose of";"07/15 okay to dispose dk

4/7/2025, Shop Note:
Standby light comes on, responds to remote, but no video, no audio. The RF jack is loose, maybe broken.

4/15/2025
No video or audio was observed with the initial board. Replaced main board, still no audio or video. Stand by light comes on as it did with the original main. We could not get any audio or video and I am not sure how the customer claims that audio and video were present, but could get good reception. Could not duplicate the problem in the shop. K=GP

7/9/25, Repair Report:
Main and power supply were requested, only main was ordered. Replaced the main, standyby light came on, no backlight, image came on with the Element logo, then screen blanked out. Checked power output to the LED connector CONP3, no measurable voltage present. It is possible that in addition to the main board, the power supply board might be bad too, with the possibilty of panel failure. Get power supply before moving forward. K-GP

07/09 No power supply available for this unit, tried to call customer to say it's unfixable but his phone autoanswered and he did not pick up. dk 
8-5-25-gp 0k to dispose of by customer GP";"99C8DPN028470";;;;;;;;;;;;;;;"main/ps pcb";;;;;;;"power supply";;;;;;;
"Acp-Menumaster";"Microwave";"DQ22HSI2";"Commerical Microwave";;"NO DESCRIPTION";"replaced parts checked operation ok";"6/17/2025, Unit picked up by Jeremey. Email the invoice to FourteenFoodsAP@quatrrobss.com with copy to Jeremy at: jlangford@fourteenfoods.com. K, DK

5/13/2025; Note, Ownership Update.  This estimate is approved. Repair limit is verbally set to $500 by Paul Schmidt. Ask for approval if exceeds $500.
The Dairy Queen Franchise in Eastern Nebraska is purchased by Fourteen Food Company. New owner is Paul Schmidt. Regional Maintenance Supervisor is Jeremy Langford (402) 880-6196. Lincoln area maintenance supervisor is Jeff Wright. Beatrice store manager is Rosa, store assistant manager, Veronica.
Update billing information.

3/15/2025, Shop Note:
Unit dead, 
-Main fuse blown, BLN30 (6.26)
-Broken door latch (47.26)
-Front left frame bent inside
-Interlock Bad (63.46)
- Seal Tray

3/15/2025, Work Done:
Unit came dead, main fuse blown, door latch broken, interlock worn out and top left frame bent. Disassembled door, replaced door latch, replaced interlock, checked components, mags, caps, diodes OK. Current draw of the mags normal, around 9 Amps, heats to specs. Operation OK.
Need to seal tray before finishing. Waiting on tray for next unit to seal both trays at the same time. K


";"12002757";;;;;;;"M0805205";"59114157";;;;;;;"Door Latch";;;;;;;"Fuse, BLN30";"Interlock";"Seal Tray";;;;;
"Acp-Menumaster";"Microwave";"DQ22HSI2";"Commerical Microwave";;"NO DESCRIPTION";"replaced parts checked operation ok";"6/17/2025, Unit picked up by Jeremey. Email the invoice to FourteenFoodsAP@quatrrobss.com with copy to Jeremy at: jlangford@fourteenfoods.com. K, DK

5/13/2025; Note, Ownership Update. This estimate is approved. Repair limit is verbally set to $500 by Paul Schmidt. Ask for approval if exceeds $500.
The Dairy Queen Franchise in Eastern Nebraska is purchased by Fourteen Food Company. New owner is Paul Schmidt. Regional Maintenance Supervisor is Jeremy Langford (402) 880-6196. Lincoln area maintenance supervisor is Jeff Wright. Beatrice store manager is Rosa, store assistant manager, Veronica.
Update billing information.

3/17/2025, Shop Note:
Unit Dead
-Main fuse blow, BLN30
-Arcing under tray, front right side
-Ceramic tray cracked from arcing
-Outer door broken, coming apart
-Cavity under tray filled with burnt and caked grease
-Door latch wornout (47.26)
-Interlock wornout
-Excessive grease in lower waveguide.

3/17/2025, Work Done:
Unit came dead, main fuse blown, door latch broken, interlock worn out. Excessive brunt grease deposit under tray. Front right side of tray broken from arcing. Disassembled door, replaced door latch, replaced interlock, checked components, mags, caps, diodes OK. Current draw of the mags normal, around 9 Amps, heats to specs. Removed lower antenna and cleaned waiveguide of burnt grease deposites. Operation OK under testing.

Needs ceramic tray and seal tray before finishing. Waiting on tray to finish the unit and seal both trays together. K
";"12002757";;;;;;;"59114157";"M0805205";"R0156942";;;;;;"Latch Kit";;;;;;;"Interlock Assy";"Main fuse BLN30";"Ceramic Tray";"Seal Tray";;;;
